SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchDate,ExitDate,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority
10224,75017,2013,Normal,Star Wars,Episode II,Duel on Geonosis,75017-1,39.99,391.0,4.0,Box,{Not specified},38.2,26.2,5.6,0.6,8.0,14.0,9041,4852,X,23,190.48,121.14,01/06/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10225,75018,2013,Normal,Star Wars,The Yoda Chronicles,Jek-14's Stealth Starfighter,75018-1,69.99,550.0,4.0,Box,{Not specified},48.0,28.2,6.1,0.93,8.0,14.0,7191,4320,X,9,192.53,118.9,01/06/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10226,75019,2013,Normal,Star Wars,Episode II,AT-TE ,75019-1,89.99,794.0,5.0,Box,{Not specified},54.0,28.2,7.8,0.99,9.0,14.0,10012,6387,X,48,153.94,120.5,01/06/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10227,75020,2013,Normal,Star Wars,Episode VI,Jabba's Sail Barge,75020-1,119.99,850.0,6.0,Box,{Not specified},48.0,37.8,7.1,1.4,9.0,14.0,11429,7907,X,32,343.18,267.26,01/06/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10228,75021,2013,Normal,Star Wars,Episode II,Republic Gunship,75021-1,119.99,1175.0,7.0,Box,{Not specified},48.0,37.8,9.4,2.01,9.0,14.0,12356,9254,X,48,469.99,270.6,01/06/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10229,75022,2013,Normal,Star Wars,The Clone Wars,Mandalorian Speeder,75022-1,24.99,211.0,3.0,Box,{Not specified},26.2,19.1,6.1,0.33,8.0,14.0,11691,5411,X,29,107.75,57.56,01/06/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10279,75023,2013,Normal,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,75023-1,39.99,254.0,9.0,Box,Retail - limited,38.2,26.2,7.1,0.37,7.0,12.0,8139,2725,X,8,70.23,46.5,,,0,0,0,0,0
10280,75024,2013,Normal,Star Wars,The Clone Wars,HH-87 Starhopper,75024-1,39.99,362.0,3.0,Box,Retail - limited,38.2,26.2,5.7,0.6,,,4668,3676,X,10,123.56,67.79,01/08/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
10281,75025,2013,Normal,Star Wars,The Old Republic,Jedi Defender-class Cruiser,75025-1,89.99,927.0,4.0,Box,Retail,48.0,37.8,7.1,,,,5518,5976,X,10,467.62,301.26,01/08/2013 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
22959,75028,2014,Normal,Star Wars,Microfighters,Clone Turbo Tank,75028-1,9.99,96.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,12206,3238,X,33,56.4,19.03,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22960,75029,2014,Normal,Star Wars,Microfighters,AAT,75029-1,9.99,95.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,9436,2527,X,25,24.25,10.47,01/01/2014 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
22961,75030,2014,Normal,Star Wars,Microfighters,Millennium Falcon,75030-1,9.99,94.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,18733,2542,X,22,21.36,8.28,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22962,75031,2014,Normal,Star Wars,Microfighters,TIE Interceptor,75031-1,9.99,92.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,13582,2489,X,16,18.55,7.42,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22963,75032,2014,Normal,Star Wars,Microfighters,X-wing Fighter,75032-1,9.99,97.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,15253,2771,X,40,25.37,11.05,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22964,75033,2014,Normal,Star Wars,Microfighters,Star Destroyer,75033-1,9.99,97.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,12065,2656,X,25,19.12,12.04,01/01/2014 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
22956,75034,2014,Normal,Star Wars,Episode VI,Death Star Troopers,75034-1,12.99,100.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.11,6.0,12.0,17155,3526,X,39,31.52,16.05,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22955,75035,2014,Normal,Star Wars,Episode III,Kashyyyk Troopers,75035-1,12.99,99.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.12,6.0,12.0,15367,4410,X,46,89.17,55.69,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22957,75036,2014,Normal,Star Wars,Episode III,Utapau Troopers,75036-1,12.99,83.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.11,6.0,12.0,13609,4776,X,52,83.21,50.86,01/01/2014 00:00:00,31/07/2015 00:00:00,0,0,0,0,0
22958,75037,2014,Normal,Star Wars,Episode III,Battle on Saleucami,75037-1,14.99,183.0,5.0,Box,Retail,26.1874,14.097,4.8006,0.21,7.0,12.0,11974,3956,X,27,73.45,37.59,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22965,75038,2014,Normal,Star Wars,Episode III,Jedi Interceptor,75038-1,24.99,223.0,2.0,Box,Retail,26.1874,19.1008,6.096,0.34,7.0,12.0,16773,3834,X,34,69.47,30.64,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22966,75039,2014,Normal,Star Wars,Episode III,V-wing Starfighter,75039-1,24.99,201.0,2.0,Box,Retail,26.1874,19.1008,6.096,0.35,7.0,12.0,7381,4305,X,13,97.67,48.14,01/01/2014 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
22967,75040,2014,Normal,Star Wars,Episode III,General Grievous' Wheel Bike,75040-1,24.99,261.0,2.0,Box,Retail,26.1874,19.1008,4.5974,0.3,7.0,12.0,17428,4421,X,39,96.55,49.15,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22968,75041,2014,Normal,Star Wars,Episode III,Vulture Droid,75041-1,24.99,205.0,3.0,Box,Retail,26.1874,19.1008,4.5974,0.32,7.0,12.0,7530,4165,X,16,135.94,53.93,01/01/2014 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
22969,75042,2014,Normal,Star Wars,Episode III,Droid Gunship,75042-1,49.99,439.0,4.0,Box,Retail,38.2016,26.1874,7.0612,0.63,8.0,14.0,6899,3852,X,13,92.23,53.34,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22970,75043,2014,Normal,Star Wars,Episode III,AT-AP,75043-1,59.99,717.0,5.0,Box,Retail,48.006,28.194,6.096,0.9,8.0,14.0,8561,4392,X,20,139.47,87.49,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22971,75044,2014,Normal,Star Wars,Episode III,Droid Tri-Fighter,75044-1,29.99,262.0,4.0,Box,Retail,22.1996,26.1874,6.1976,0.38,7.0,12.0,4836,4463,X,9,126.23,68.46,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22972,75045,2014,Normal,Star Wars,The Clone Wars,Republic AV-7 Anti-Vehicle Cannon,75045-1,39.99,434.0,4.0,Box,Retail,28.194,26.1874,7.5946,0.62,8.0,14.0,5198,5810,X,10,289.39,170.46,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
22973,75046,2014,Normal,Star Wars,The Clone Wars,Coruscant Police Gunship,75046-1,49.99,481.0,4.0,Box,Retail,38.2016,26.1874,7.0612,0.83,8.0,14.0,4672,5997,X,9,300.32,208.2,01/01/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23369,75048,2014,Normal,Star Wars,Rebels,The Phantom,75048-1,24.99,234.0,2.0,Box,Retail,26.1874,19.1008,4.5974,0.32,7.0,12.0,12292,3842,X,50,135.0,48.16,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23370,75049,2014,Normal,Star Wars,Episode V,Snowspeeder,75049-1,29.99,279.0,3.0,Box,Retail,22.1996,26.1874,6.1976,0.44,7.0,12.0,14098,4372,X,23,100.92,46.83,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23365,75050,2014,Normal,Star Wars,Episode VI,B-wing™,75050-1,49.99,448.0,3.0,Box,Retail,38.2016,26.1874,7.0612,0.8,8.0,14.0,10446,5364,X,30,145.1,74.29,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23367,75051,2014,Normal,Star Wars,The Yoda Chronicles,Jedi Scout Fighter,75051-1,59.99,490.0,4.0,Box,Retail,48.006,28.194,6.096,0.97,8.0,14.0,5724,4226,X,14,163.33,105.02,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23368,75052,2014,Normal,Star Wars,Episode IV,Mos Eisley Cantina,75052-1,69.99,616.0,8.0,Box,Retail,54.0004,28.194,5.8928,1.02,8.0,14.0,14115,6073,X,45,129.7,94.05,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23371,75053,2014,Normal,Star Wars,Rebels,The Ghost,75053-1,89.99,929.0,4.0,Box,Retail,54.0004,28.194,9.0932,1.54,9.0,14.0,9392,5927,X,39,498.93,219.37,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23364,75054,2014,Normal,Star Wars,Episode V,AT-AT,75054-1,109.99,1137.0,5.0,Box,Retail,48.006,37.7952,7.0612,1.67,9.0,14.0,13216,6638,X,34,179.61,91.45,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23366,75055,2014,Normal,Star Wars,Episode IV,Imperial Star Destroyer,75055-1,129.99,1359.0,7.0,Box,Retail,58.1914,37.7952,10.3124,2.66,9.0,14.0,11476,7224,X,19,336.27,172.01,01/06/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23441,75056,2014,Normal,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,75056-1,39.99,274.0,9.0,Box,Retail - limited,38.2016,26.1874,7.0612,0.39,6.0,14.0,8181,2641,X,4,90.64,48.62,01/09/2014 00:00:00,31/12/2014 00:00:00,0,0,0,0,0
23680,75058,2014,Normal,Star Wars,Episode I,MTT,75058-1,89.99,954.0,12.0,Box,{Not specified},48.006,37.7952,7.0612,1.6,,,4062,4885,X,9,271.07,193.4,01/08/2014 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23529,75059,2014,Normal,Star Wars,Ultimate Collector Series,Sandcrawler,75059-1,299.99,3296.0,14.0,Box,LEGO exclusive,58.1914,48.006,16.9926,4.48,14.0,,11721,10961,X,38,475.22,370.93,01/05/2014 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23682,75060,2015,Normal,Star Wars,Ultimate Collector Series,Slave I,75060-1,199.99,1996.0,4.0,Box,LEGO exclusive,58.1914,37.7952,11.811,3.05,14.0,,20743,9479,X,53,463.76,345.17,01/01/2015 00:00:00,31/12/2018 00:00:00,0,0,0,0,0
23792,75072,2015,Normal,Star Wars,Microfighters,ARC-170 Starfighter,75072-1,9.99,95.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,9736,2826,X,17,30.11,16.01,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23793,75073,2015,Normal,Star Wars,Microfighters,Vulture Droid,75073-1,9.99,77.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,7359,2515,X,8,28.47,13.3,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23794,75074,2015,Normal,Star Wars,Microfighters,Snowspeeder,75074-1,9.99,97.0,1.0,Box,Retail,14.097,12.192,4.5974,0.09525432,6.0,12.0,15464,2444,X,15,19.2,7.25,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23795,75075,2015,Normal,Star Wars,Microfighters,AT-AT,75075-1,9.99,88.0,1.0,Box,Retail,14.097,12.192,4.5974,0.0908,6.0,12.0,16253,2323,X,34,15.78,7.28,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23796,75076,2015,Normal,Star Wars,Microfighters,Republic Gunship,75076-1,9.99,105.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,9760,3053,X,31,40.18,19.77,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23797,75077,2015,Normal,Star Wars,Microfighters,Homing Spider Droid,75077-1,9.99,102.0,1.0,Box,Retail,14.097,12.192,4.5974,0.1,6.0,12.0,7567,2415,X,4,28.14,10.25,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23791,75078,2015,Normal,Star Wars,Rebels,Imperial Troop Transport,75078-1,12.99,141.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.1589,6.0,12.0,16502,3412,X,64,33.98,20.07,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23790,75079,2015,Normal,Star Wars,Battlefront,Shadow Troopers,75079-1,12.99,95.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.12258,6.0,12.0,14920,3526,X,34,32.84,19.55,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23789,75080,2015,Normal,Star Wars,Episode I,AAT,75080-1,24.99,251.0,3.0,Box,Retail,26.1874,19.1008,6.096,0.39,7.0,12.0,8087,3620,X,34,70.14,36.28,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23788,75081,2015,Normal,Star Wars,Episode IV,T-16 Skyhopper,75081-1,24.99,247.0,2.0,Box,Retail,26.1874,19.1008,7.1882,0.43,7.0,12.0,10002,3578,X,37,38.4,27.28,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23787,75082,2015,Normal,Star Wars,Rebels,TIE Advanced Prototype,75082-1,39.99,355.0,3.0,Box,Retail,28.194,26.2128,5.8928,0.55388,8.0,14.0,13332,4919,X,16,115.14,60.85,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23786,75083,2015,Normal,Star Wars,Rebels,AT-DP,75083-1,49.99,500.0,4.0,Box,Retail,26.1874,38.2016,7.0612,0.79,8.0,14.0,7885,4964,X,14,118.89,78.94,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23752,75084,2015,Normal,Star Wars,Rebels,Wookiee Gunship,75084-1,69.99,570.0,4.0,Box,Retail,48.006,28.194,6.096,0.98,8.0,14.0,5732,4772,X,12,151.45,87.9,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
23833,75085,2015,Normal,Star Wars,Episode II,Hailfire Droid,75085-1,19.99,163.0,3.0,Box,Retail,20.4978,19.1008,6.096,0.27,,,6693,4446,X,15,124.8,61.8,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
24007,75086,2015,Normal,Star Wars,Episode I,Battle Droid Troop Carrier,75086-1,39.99,565.0,15.0,Box,Retail,28.194,26.1874,5.8928,0.59,8.0,14.0,4842,4528,X,10,158.9,87.42,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23814,75087,2015,Normal,Star Wars,Legends,Anakin's Custom Jedi Starfighter,75087-1,39.99,370.0,3.0,Box,Retail,28.194,26.1874,5.8928,0.59,8.0,14.0,5472,5040,X,24,160.57,91.67,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23867,75088,2015,Normal,Star Wars,The Clone Wars,Senate Commando Troopers,75088-1,12.99,106.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.12258,6.0,12.0,13061,3884,X,24,47.9,30.03,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23785,75089,2015,Normal,Star Wars,Miscellaneous,Geonosis Troopers,75089-1,12.99,105.0,4.0,Box,Retail,19.1008,14.097,4.5974,0.12258,6.0,12.0,14876,4128,X,38,65.84,38.75,01/01/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
23784,75090,2015,Normal,Star Wars,Rebels,Ezra's Speeder Bike,75090-1,19.99,253.0,3.0,Box,Retail,26.1874,14.097,6.096,0.26,7.0,12.0,9087,3372,X,27,59.91,52.33,01/01/2015 00:00:00,31/12/2015 00:00:00,0,0,0,0,0
24219,75091,2015,Normal,Star Wars,Episode I,Flash Speeder,75091-1,29.99,312.0,5.0,Box,Retail,35.4076,19.1008,5.8928,0.45854,7.0,12.0,7766,3459,X,19,51.64,48.41,01/06/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
24220,75092,2015,Normal,Star Wars,Episode I,Naboo Starfighter,75092-1,49.99,442.0,9.0,Box,Retail,38.2016,26.2128,5.6642,0.7257472,8.0,14.0,8791,4873,X,9,149.57,74.51,01/06/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
24221,75093,2015,Normal,Star Wars,Episode VI,Death Star Final Duel,75093-1,79.99,724.0,5.0,Box,Retail,48.006,28.194,7.3914,1.238306,8.0,14.0,11181,4971,X,25,96.79,65.08,01/06/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
24222,75094,2015,Normal,Star Wars,Episode VI,Imperial Shuttle Tydirium,75094-1,99.99,937.0,5.0,Box,Retail,35.4076,37.7952,9.398,1.4301,9.0,14.0,16261,6599,X,54,199.77,117.72,01/06/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
24083,75095,2015,Normal,Star Wars,Ultimate Collector Series,TIE Fighter,75095-1,199.99,1685.0,1.0,Box,LEGO exclusive,58.1914,48.006,9.0932,2.86,14.0,,13001,7334,X,8,294.68,190.15,01/05/2015 00:00:00,31/12/2017 00:00:00,0,0,0,0,0
24510,75096,2015,Normal,Star Wars,Episode I,Sith Infiltrator,75096-1,89.99,662.0,8.0,Box,Retail,54.0004,28.194,7.8486,1.28,,,4909,5362,X,5,193.25,110.0,01/08/2015 00:00:00,31/12/2016 00:00:00,0,0,0,0,0
