_id,SetID,Number,YearFrom,Category,Theme,Subtheme,SetName,ImageFilename,USRetailPrice,Pieces,Minifigs,PackagingType,Availability,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,LaunchYear,LaunchMonth,ExitYear,ExitMonth,PriceChange,ResaleDemand,SizeCategory,Exclusivity,ThemePopularity,InvestmentScore,YearsSinceExit,AppreciationTrend,AnnualPriceIncrease,AnnualPercentageIncrease
67cdbf4341e4c15d5670772b,48567,10332,2024,Normal,Icons,Castle System,Medieval Town Square,10332-1,229.99,3304.0,8.0,Box,LEGO exclusive,55.5,37.8,13.2,3.535,18.0,0.0,4463,4447,0,208.38,171.11,2024,1,2027,12,-9.396060698291235,1.2178131026824848,Large,Exclusive,0.0,6.241575720683506,0,0.0,,
67cdbf4341e4c15d5670772c,48572,10333,2024,Normal,Icons,Licensed,The Lord of the Rings: Barad-dûr,10333-1,459.99,5471.0,11.0,Box,LEGO exclusive,37.8,52.3,25.7,0.0,18.0,0.0,4082,3410,12,433.89,352.92,2024,1,2027,12,-5.674036392095485,1.2294287657259435,Large,Exclusive,0.0,7.730385443161806,0,0.0,,
67cdbf4341e4c15d5670772d,48946,10334,2024,Normal,Icons,Miscellaneous,Retro Radio,10334-1,99.99,906.0,0.0,Box,LEGO exclusive,38.2,26.2,9.4,0.0,18.0,0.0,1475,1443,0,100.26,55.0,2024,1,2027,12,0.27002700270028024,1.822909090909091,Medium,Exclusive,0.0,10.108010801080113,0,0.0,,
67cdbf4341e4c15d5670772e,48947,10335,2024,Normal,Icons,Miscellaneous,The Endurance,10335-1,269.99,3011.0,0.0,Box,LEGO exclusive,0.0,0.0,0.0,0.0,18.0,0.0,2434,1429,0,249.63,193.3,2024,1,2027,12,-7.541020037779182,1.2914123124676666,Large,Exclusive,0.0,6.983591984888327,0,0.0,,
67cdbf4341e4c15d5670772f,48948,10337,2024,Normal,Icons,Vehicles,Lamborghini Countach 5000 Quattrovalvole,10337-1,179.99,1506.0,0.0,Box,LEGO exclusive,45.6,28.2,11.8,0.0,18.0,0.0,1551,2300,0,152.09,0.0,2024,1,2027,12,-15.500861158953278,0.0,Large,Exclusive,0.0,3.7996555364186886,0,0.0,,
67cdbf4341e4c15d56707730,48949,10338,2024,Normal,Icons,Licensed,Bumblebee,10338-1,89.99,950.0,0.0,Box,LEGO exclusive,26.2,38.2,9.4,0.0,18.0,0.0,2613,1503,5,63.89,71.51,2024,1,2027,12,-29.003222580286693,0.8934414767165431,Medium,Exclusive,0.0,-1.6012890321146784,0,0.0,,
67cdbf4341e4c15d56707731,48950,10339,2024,Normal,Icons,Winter Village Collection,Santa's Post Office,10339-1,99.99,1440.0,5.0,Box,LEGO exclusive,45.4,28.1,10.5,1.651,18.0,0.0,4290,1728,0,86.14,0.0,2024,1,2027,12,-13.851385138513846,0.0,Large,Exclusive,0.0,4.459445944594461,0,0.0,,
67cdbf4341e4c15d56707732,48951,10340,2024,Normal,Icons,Botanical Collection,Wreath,10340-1,99.99,1194.0,0.0,Box,Retail,26.0,38.0,9.2,1.175,18.0,0.0,2043,1442,0,103.98,70.0,2024,1,2027,12,3.9903990399039997,1.4854285714285715,Large,Exclusive,0.0,11.5961596159616,0,0.0,,
67cdbf4341e4c15d56707733,49175,10341,2024,Normal,Icons,Space,NASA Artemis Space Launch System,10341-1,259.99,3601.0,0.0,Box,Unknown,37.8,55.5,15.7,0.0,18.0,0.0,2028,2869,0,222.29,145.61,2024,1,2027,12,-14.500557713758228,1.5266121832291737,Large,Exclusive,0.0,4.1997769144967085,0,0.0,,
67cdbf4341e4c15d56707734,50436,10350,2025,Normal,Icons,Modular Buildings Collection,Tudor Corner,10350-1,229.99,3266.0,8.0,Box,LEGO exclusive,55.5,37.8,13.2,3.554,18.0,0.0,3835,3297,9,231.77,185.78,2025,1,2028,12,0.7739466933344933,1.2475508666164281,Large,Exclusive,0.0,10.309578677333798,0,0.0,,
